Name,Start,Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static,Time(ms),nblock,state,exp,,,,
"test(int, int, int)",2535180277,100137067,1,1,1,1024,1,1,37,304,6352,100.137067,217,288,,,,,
"test(int, int, int)",2535180405,102751824,1,1,1,1024,1,1,37,304,6352,102.751824,218,299,,,,,
"test(int, int, int)",2535180501,107113529,1,1,1,1024,1,1,37,304,6352,107.113529,219,280,,,,,
"test(int, int, int)",2535180661,108365133,1,1,1,1024,1,1,37,304,6352,108.365133,220,296,,,,,
"test(int, int, int)",2648968582,102438650,1,1,1,1024,1,1,37,304,6352,102.43865,221,311,,,,,
"test(int, int, int)",2648968582,106103643,1,1,1,1024,1,1,37,304,6352,106.103643,222,370,,,,,
"test(int, int, int)",2648968710,109235662,1,1,1,1024,1,1,37,304,6352,109.235662,223,353,,,,,
"test(int, int, int)",2648968870,98819736,1,1,1,1024,1,1,37,304,6352,98.819736,224,353,,,,,
"test(int, int, int)",2648968870,102983944,1,1,1,1024,1,1,37,304,6352,102.983944,225,293,,,,,
"test(int, int, int)",2648968966,118510188,1,1,1,1024,1,1,37,304,6352,118.510188,226,362,,,,,
"test(int, int, int)",2648969126,104483571,1,1,1,1024,1,1,37,304,6352,104.483571,227,366,,,,,
"test(int, int, int)",2648969222,102328894,1,1,1,1024,1,1,37,304,6352,102.328894,228,367,,,,,
"test(int, int, int)",2648969350,126133028,1,1,1,1024,1,1,37,304,6352,126.133028,229,339,,,,,
"test(int, int, int)",2648969446,104078849,1,1,1,1024,1,1,37,304,6352,104.078849,230,361,,,,,
"test(int, int, int)",2648969574,109214543,1,1,1,1024,1,1,37,304,6352,109.214543,231,363,,,,,
"test(int, int, int)",2648969702,98772826,1,1,1,1024,1,1,37,304,6352,98.772826,232,367,,,,,
"test(int, int, int)",2649006341,109202127,1,1,1,1024,1,1,37,304,6352,109.202127,233,364,,,,,
"test(int, int, int)",2775411839,118883295,1,1,1,1024,1,1,37,304,6352,118.883295,234,335,,,,,
